House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
746,2599334,Denver,9400 E Iliff Avenue Unit# 252,Residential,"$535,000","2,253","1,588",3,4,05/26/2022,Yes
747,8796497,Fort Collins,1500 Red Sky Court,Residential,"$1,950,000","9,952","4,976",4,6,05/26/2022,Yes
748,9114307,Littleton,11912 W Quarles Avenue,Residential,"$775,000","3,629","2,422",4,3,05/26/2022,Yes
749,9072058,Arvada,5580 W 80th Place Unit# 32,Residential,"$280,000",818,818,2,1,05/26/2022,Yes
750,7075784,Hugo,217 7th Street,Residential,"$329,000","2,001","1,488",3,2,05/26/2022,No
751,3110080,Denver,635 Elati Street,Land,"$400,000",,,,,05/26/2022,No
752,4771730,Castle Rock,3891 Pecos Trail,Residential,"$485,000","1,583","1,583",3,3,05/26/2022,Yes
753,2947594,Aurora,Lot 7 Akron Street,Land,"$125,000",,,,,05/26/2022,No
754,7268607,Denver,238 S Downing Street,Residential,"$900,000","2,418","1,408",3,2,05/26/2022,No
755,1812418,Keenesburg,395 S Elm Street,Residential,"$433,000","2,487","1,509",3,3,05/26/2022,No
756,7806224,Fort Lupton,1321 6th Street,Residential,"$450,000","1,846","1,248",3,2,05/26/2022,No
757,5759575,Strasburg,1921 Basil Street,Residential,"$490,000","2,551","1,759",4,3,05/26/2022,Yes
758,2583577,Denver,3127 N Elizabeth Street,Residential,"$268,000",727,727,2,1,05/26/2022,No
759,6172816,Highlands Ranch,1162 Rockhurst Drive Unit# 307,Residential,"$424,900","1,030","1,030",2,2,05/26/2022,Yes
760,5507323,Littleton,6500 Roxborough Park Road,Land,"$9,850,000",,,,,05/26/2022,No
761,2772375,Commerce City,13361 E 106th Avenue,Residential,"$559,000","2,294","1,766",4,3,05/26/2022,Yes
762,8435348,Denver,1630 Perry Street,Land,"$1,333,000",,,,,05/26/2022,No
763,9122815,Erie,1162 Village Circle,Residential,"$630,000","2,428","1,214",3,3,05/26/2022,Yes
764,6948869,Denver,1646 N Perry Street,Land,"$1,333,000",,,,,05/26/2022,No
765,6401773,Leadville,1406 Silver Vault Street,Residential,"$725,000","1,578","1,578",3,3,05/26/2022,Yes
766,5944349,Denver,1636 N Perry Street,Land,"$1,333,000",,,,,05/26/2022,No
767,9400254,Idaho Springs,000 Loch Lomond Road,Land,"$59,500",,,,,05/26/2022,Yes
768,4816820,Denver,6435 N Dunkirk Street,Residential,"$408,340","1,248","1,248",2,3,05/26/2022,Yes
769,5209321,Aurora,49 S Waterloo Street,Residential,"$716,635","3,708","2,652",5,2,05/26/2022,Yes
770,7530287,Bennett,8770 Schumaker Road,Land,"$340,000",,,,,05/26/2022,No
771,9227309,Denver,16214 E 54th Avenue,Residential,"$499,000","1,846","1,846",3,3,05/26/2022,Yes
772,2269265,Denver,3455 N Downing Street,Residential,"$925,000","1,491","1,491",3,3,05/26/2022,No
773,8415830,Thornton,13828 Harrison Street,Residential,"$505,000","1,618","1,219",2,3,05/26/2022,Yes
774,9023547,Denver,1550 S Clermont Street,Residential Lease,"$3,000","2,117","2,117",3,2,05/26/2022,
775,7677896,Denver,5995 W Hampden Avenue Unit# J13,Residential,"$259,000",833,833,2,1,05/26/2022,Yes
776,2018089,Colorado Springs,1744 Whitehall Road,Residential,"$364,900","1,666","1,666",3,2,05/26/2022,No
777,6828402,Denver,2120 N Downing Street Unit# 214,Residential,"$355,000",516,516,1,1,05/26/2022,Yes
778,3884878,Bailey,35 Forest Drive,Residential,"$950,000","3,645","1,680",5,3,05/26/2022,No
779,7976623,Denver,5995 W Hampden Avenue Unit# B7,Residential,"$185,000",617,617,1,1,05/26/2022,Yes
780,6298039,Denver,2120 N Downing Street Unit# 206,Residential,"$272,500",357,357,0,1,05/26/2022,Yes
781,5262104,Denver,80 Campo Street,Residential,"$429,900",984,984,3,1,05/26/2022,No
782,3858812,Denver,2979 Hudson Street,Residential,"$500,000",775,775,2,1,05/26/2022,No
783,8393657,Thornton,11331 Jersey Lane,Residential,"$650,000","3,398","2,526",5,4,05/26/2022,Yes
784,4960668,Westminster,3225 W 111th Loop Unit# C,Residential,"$600,000","2,496","1,296",2,3,05/26/2022,Yes
785,1934116,Aurora,Lot 6 Akron Street,Land,"$125,000",,,,,05/26/2022,No
786,2947489,Loveland,140 Brass Court,Residential,"$450,000","2,556","1,278",3,2,05/26/2022,Yes
787,8450349,Elbert,12535 Mccune Road,Residential,"$699,000","3,294","1,538",5,3,05/26/2022,No
788,7231163,Fort Collins,1325 Country Club Road,Residential,"$750,000","2,249","1,374",5,2,05/26/2022,No
789,9999749,Parker,8768 Larch Trail,Residential,"$890,000","4,401","2,977",6,4,05/26/2022,Yes
790,9877748,Wheat Ridge,10250 W 33rd Avenue,Residential,"$995,000","2,415","2,415",4,3,05/26/2022,No
791,6840766,Pine,23724 Pine Top Avenue,Residential,"$595,000","2,148","1,635",3,2,05/26/2022,No
792,7477597,Denver,1863 S Sherman Street,Residential,"$1,349,000","2,627","1,776",3,3,05/26/2022,No
793,8160771,Denver,4649 Argonne Street,Residential,"$420,000",947,947,2,2,05/26/2022,Yes
794,2052381,Aurora,1336 S Zeno Way,Residential,"$499,000","7,884","1,320",3,2,05/26/2022,No
795,2835395,Castle Rock,1828 Aquamarine Court,Residential,"$925,000","5,562","4,044",5,5,05/26/2022,Yes
796,9213625,Denver,3540 Niagara Street,Residential,"$676,000","1,922",961,4,2,05/26/2022,No
797,9674158,Littleton,8918 Mancos River Street,Residential,"$647,779","2,554","1,798",3,3,05/26/2022,Yes
798,4361289,Alma,490 Adventure,Residential,"$110,000","1,684","1,684",3,2,05/26/2022,No
799,2018595,Canon City,1427 Locust Street,Residential,"$249,900",999,999,3,1,05/26/2022,No
800,6094406,Windsor,1852 Ruddlesway Drive,Residential,"$518,500","1,764","1,764",3,2,05/26/2022,Yes
801,5742273,Aurora,22414 E Union Place,Residential,"$750,000","3,479","2,314",4,4,05/26/2022,Yes
802,5590474,Littleton,4825 S Ammons Street Unit# 106,Residential,"$500,000","2,239","1,409",3,3,05/26/2022,Yes
803,2387145,Denver,505 24th Street Unit# 203,Residential,"$630,000","1,442","1,442",2,2,05/26/2022,Yes
804,4637853,Aurora,20241 E Euclid Lane,Residential,"$1,250,000","4,740","2,334",5,5,05/26/2022,Yes
805,3334008,Loveland,3020 Blue Mountain Court,Residential,"$950,000","4,708","3,006",5,4,05/26/2022,Yes
806,7889186,Poncha Springs,10700 County Road 128,Residential,"$750,000","2,177","2,177",4,4,05/26/2022,Yes
807,2783527,Wray,34900 County Road Aa,Residential,"$325,000","1,456","1,456",3,2,05/26/2022,No
808,7084263,Thornton,2461 Roosevelt Avenue,Residential,"$500,000","2,106","1,053",3,1,05/26/2022,No
809,7442570,Poncha Springs,10702 County Road 128,Residential,"$750,000","2,177","2,177",4,4,05/26/2022,Yes
810,9065871,Commerce City,10989 Uvalda Street,Residential,"$611,900","3,299","2,378",4,3,05/26/2022,Yes
811,9200803,Centennial,5808 S Jericho Way,Residential,"$569,000","2,288","1,668",4,4,05/26/2022,Yes
812,4242601,Westminster,3736 W 100th Avenue,Residential,"$1,295,000","4,755","3,477",4,5,05/26/2022,Yes
813,3578412,Aurora,14906 E Warren Avenue,Residential,"$550,000","2,294","1,794",4,2,05/26/2022,No
814,3146956,Saguache,705.5 2nd St,Residential,"$410,000","1,152","1,152",0,0,05/26/2022,No
815,2862768,Westminster,2458 W 111th Place,Residential,"$629,500","2,434","1,718",4,3,05/26/2022,Yes
816,5584191,Colorado Springs,3887 Needles Drive,Residential,"$1,249,900","4,161","2,104",5,5,05/26/2022,Yes
817,5344842,Westminster,2927 W 81st Avenue Unit# F,Residential,"$318,000","1,036","1,036",2,2,05/26/2022,Yes
818,3298686,Lakewood,1377 S Chase Street,Residential,"$550,000","2,236","1,118",4,2,05/26/2022,No
819,7420889,Denver,3820 W Alice Place,Residential,"$975,000","1,663","1,663",3,2,05/26/2022,No
820,4617491,Frederick,3532 Little Bell Drive,Residential,"$575,000","1,579","1,579",3,2,05/26/2022,Yes
821,2884049,Colorado Springs,1632 W Kiowa Unit# 2,Residential Lease,"$1,140",600,600,1,1,05/26/2022,
822,9473211,Arvada,9147 Ellis Way,Residential,"$740,000","1,744","1,744",3,2,05/26/2022,Yes
823,3798849,Aurora,23623 E Eads Drive,Residential,"$950,000","4,969","3,243",7,6,05/26/2022,Yes
824,3634410,Commerce City,11095 Quintero Street,Residential,"$777,000","4,348","2,192",3,3,05/26/2022,Yes
825,6839285,Parker,7318 Prairie Star Court,Residential,"$2,289,000","4,720","2,898",6,5,05/26/2022,Yes
826,9518115,Monument,19656 Still River Court,Residential,"$775,000","3,991","2,843",4,4,05/26/2022,No
827,6600611,Lakewood,2557 S Dover Street Unit# 47,Residential,"$315,000",880,880,2,1,05/26/2022,Yes
828,6669651,Deer Trail,1110 4th Avenue,Residential,"$389,900","2,372","1,679",3,3,05/26/2022,Yes
829,9292410,Denver,4820 Clay Street,Residential,"$570,000","1,050","1,050",3,2,05/26/2022,No
830,5158043,Kiowa, COUNTY ROAD 142,Land,"$285,000",,,,,05/26/2022,No
831,3356312,Aurora,992 S Dearborn Way Unit# 10,Residential,"$249,900",982,982,2,2,05/26/2022,Yes
832,3758051,Fort Collins,925 Columbia Road Unit# 114,Residential,"$250,000",660,660,1,1,05/26/2022,Yes
833,5123621,Denver,6571 N Danube Way Unit# 1,Residential,"$484,030","1,498","1,498",2,2,05/26/2022,Yes
834,1876210,Denver,15012 Bolling Drive,Residential,"$525,000","2,291","1,540",3,3,05/26/2022,No
835,6435893,Denver,7665 E Eastman Avenue Unit# C201,Residential,"$300,000","1,247","1,247",3,2,05/26/2022,Yes
836,7323488,Highlands Ranch,763 Wedgewood Court,Residential,"$650,000","2,387","1,615",5,4,05/26/2022,Yes
837,3892404,Loveland,4549 Lucerne Avenue,Residential,"$365,000","1,294","1,294",2,3,05/26/2022,Yes
838,4186062,Westminster,2715 W 119th Avenue,Residential,"$785,000","2,975","2,111",3,4,05/26/2022,Yes
839,1737886,Denver,8061 E 8th Avenue,Residential,"$1,050,000","3,287","2,303",5,4,05/26/2022,Yes
840,2993237,Highlands Ranch,3150 Braeburn Place,Residential,"$827,000","3,999","2,767",6,5,05/26/2022,Yes
841,3910778,Littleton,7751 S Carr Street,Residential,"$899,000","3,289","2,180",4,4,05/26/2022,No
842,3414798,Colorado Springs,3410 Harbor Island Drive,Residential,"$585,000","2,788","1,876",4,4,05/26/2022,No
843,6463764,Littleton,10461 Jacob Place,Residential,"$569,900","1,623","1,623",3,2,05/26/2022,No
844,3776949,Longmont,2702 Falcon Drive,Residential,"$750,000","3,236","2,251",4,3,05/26/2022,Yes
845,7724952,Littleton,9611 W Coco Circle Unit# 106,Residential,"$420,000","1,134","1,134",2,2,05/26/2022,Yes
846,2809077,Littleton,4459 S Independence Court,Residential,"$575,000","2,599","1,728",2,3,05/26/2022,Yes
847,2013168,Hartsel,767 Sophie Drive,Land,"$21,000",,,,,05/26/2022,No
848,6825024,Arvada,8432 Everett Way Unit# C,Residential,"$395,000","1,061","1,061",2,2,05/26/2022,Yes
849,4650157,New Castle,225 W Capital Court,Residential,"$459,000","1,388","1,388",3,3,05/26/2022,Yes
850,5001341,Denver,5022 E 17th Avenue Parkway,Residential,"$1,300,000","3,345","2,230",4,4,05/26/2022,No
851,2237798,Aurora,1737 S Iola Street,Residential,"$690,000","3,786","1,893",5,3,05/26/2022,No
852,3428371,Castle Rock,1944 Candleglow Street,Residential,"$645,000","2,917","2,049",5,3,05/26/2022,Yes
853,6688376,Larkspur,1124 Hoosier Drive,Residential,"$975,000","3,656","2,396",4,4,05/26/2022,Yes
854,6707194,Denver,15586 Olmsted Place,Residential,"$535,000","2,520","1,689",4,4,05/26/2022,Yes
855,5423835,Denver,1601 E 86th Place,Residential,"$450,000","2,420","1,210",3,2,05/26/2022,No
856,5675952,Fairplay,340 Aspen Way,Land,"$84,900",,,,,05/26/2022,No
857,3880244,Denver,2650 W Asbury Avenue,Residential,"$579,501","1,498","1,498",3,2,05/26/2022,No
858,3726979,Aurora,2306 S troy,Residential,"$400,000","2,356","1,124",4,3,05/26/2022,Yes
859,3296197,Fort Lupton,310 Ponderosa Place,Residential,"$395,000","1,653","1,653",3,3,05/26/2022,Yes
860,7946092,Littleton,9559 W Coal Mine Avenue Unit# H,Residential,"$384,900","1,028","1,028",2,2,05/26/2022,Yes
861,9578904,Fort Collins,2039 Falcon Ridge Drive,Residential,"$565,000","2,873","2,176",4,3,05/26/2022,Yes
862,6189298,Denver,736 Race Street,Residential,"$1,865,000","3,524","2,551",5,4,05/26/2022,No
863,6778866,Wheat Ridge,12125 W 35th Avenue,Residential,"$959,900","2,784","1,392",4,3,05/26/2022,No
864,1659338,Castle Rock,6351 Wescroft Avenue,Residential,"$499,973","1,550","1,550",3,3,05/26/2022,Yes
865,9570452,Como,100 Shetland Circle,Land,"$49,000",,,,,05/26/2022,Yes
866,4457931,Arvada,5742 Yank Street,Residential,"$1,575,000","6,249","4,085",4,5,05/26/2022,Yes
867,9157741,Centennial,5780 S Hannibal Way,Residential,"$690,000","3,175","2,402",5,5,05/26/2022,Yes
868,3760253,Cripple Creek,622 Monarch Drive,Land,"$39,000",,,,,05/26/2022,Yes
869,3461176,Colorado Springs,2470 Silent Rain Drive,Residential,"$480,000","1,465","1,465",3,3,05/26/2022,No
870,3578818,La Veta,1420 Panadero Avw Unit# 19,Residential,"$137,900",637,637,2,1,05/26/2022,Yes
871,2687605,Fairplay,211 Wild  Rye Road,Residential,"$399,900","1,036","1,036",2,1,05/26/2022,Yes
872,7227664,Golden,710 6th Street,Residential,"$1,200,000","1,544","1,464",3,3,05/26/2022,No
873,7585021,Denver,3390 W 29th Avenue,Residential,"$850,000","2,807","2,364",4,2,05/26/2022,No
874,9677015,Denver,9901 E Evans Avenue Unit# 18D,Residential,"$300,000",903,903,2,1,05/26/2022,Yes
875,3266343,Lakewood,10835 W Beloit Place,Residential,"$1,200,000","4,038","2,736",4,5,05/26/2022,Yes
876,5947808,Denver,3218 S Holly Street,Residential,"$625,000","2,112","1,056",3,1,05/26/2022,No
877,5772835,Divide,170 Valley Road,Land,"$13,500",,,,,05/26/2022,Yes
878,2987260,Colorado Springs,9035 Musgrave Street,Residential,"$599,900","3,544","2,644",5,4,05/26/2022,No
879,3801716,Fort Collins,4650 Westridge Drive,Residential,"$980,000","4,801","3,093",5,4,05/26/2022,Yes
880,7065891,Divide,136 Valley Road,Land,"$13,500",,,,,05/26/2022,Yes
881,2778065,Boulder,3250 Oneal Circle Unit# G17,Residential,"$299,900",767,767,2,1,05/26/2022,Yes
882,2590900,Northglenn,11572 Community Center Drive Unit# 36,Residential,"$339,993","1,776","1,184",2,2,05/26/2022,Yes
883,3942606,Fort Lupton,7348 Flint Street,Residential,"$749,900","1,960","1,960",5,2,05/26/2022,No
884,9144334,Arvada,6979 Iris Street,Residential,"$950,000","4,396","2,627",4,4,05/26/2022,No
885,4535256,Colorado Springs,6780 Holt Drive,Residential,"$495,000","2,316","1,726",3,3,05/26/2022,No
886,5723332,Colorado Springs,5557 Prairie Schooner Drive,Residential,"$560,000","1,851","1,851",4,4,05/26/2022,Yes
887,3652792,Lafayette,1638 Zinnia Circle,Residential,"$975,000","3,370","2,188",4,4,05/26/2022,Yes
888,4993599,Denver,400 S Lafayette Street Unit# 1103,Residential,"$470,000",943,943,2,2,05/26/2022,Yes
889,5711887,Arvada,8339 Tabor Court,Residential,"$950,000","4,427","2,241",4,3,05/26/2022,Yes
890,3752332,Thornton,2261 E 90th Avenue,Residential,"$415,000","1,162","1,162",4,1,05/26/2022,No
891,2616031,Westminster,6320 W 108th Place,Residential,"$585,000","1,760","1,760",3,3,05/26/2022,No
892,4925311,Silverthorne,111 Shooting Star Way,Residential,"$1,650,000","3,045","3,045",5,4,05/26/2022,Yes
893,3610171,Mead,4414 Garnet Way,Residential,"$541,190","1,771","1,771",4,2,05/26/2022,Yes
894,2699531,Denver,30 Clermont Street,Residential,"$2,200,000","4,761","3,673",5,5,05/26/2022,No
895,7337905,Brighton,386 Baler Court,Residential,"$568,340","2,143",,4,3,05/26/2022,
896,2697619,Brighton,385 Baler Court,Residential,"$538,690","1,955",,4,3,05/26/2022,
897,2638103,Brighton,393 Baler Court,Residential,"$534,005","1,736",,3,3,05/26/2022,
898,9859761,Brighton,394 Baler Court,Residential,"$518,435","1,563",,3,3,05/26/2022,
899,9768820,Castle Rock,365 Silver Rock Trail,Residential,"$729,260","3,564","2,407",3,3,05/26/2022,Yes
900,8951328,Brighton,4776 Kipp Place,Residential,"$543,070","1,581",,3,2,05/26/2022,
901,6497124,Windsor,2017 Blue Moon Drive,Residential,"$738,431","2,911",,4,4,05/26/2022,
902,3420931,Brighton,2879 Marsh Hawk Way,Residential,"$720,562","2,688",,4,3,05/26/2022,
903,9001936,Castle Rock,365 Silver Rock Trail,Residential,"$729,260","2,407",,3,3,05/26/2022,
904,6666733,Berthoud,4640 Malibu Drive,Residential,"$1,300,000","3,527","3,486",3,4,05/26/2022,Yes
905,9108823,Aurora,6016 N Lisbon Street,Residential,"$761,034","2,683",,3,3,05/26/2022,
906,7245186,Fairplay,20 Silk Sisters Place,Residential,"$1,375,000","3,840","3,840",4,4,05/26/2022,Yes
907,4375809,Aurora,6076 N Lisbon Street,Residential,"$847,643","3,475",,4,4,05/26/2022,
908,8037726,Castle Pines,6924 Sunstrand Court,Residential,"$1,428,486","5,291",,6,6,05/26/2022,
909,8000698,Castle Rock,3304 Offbeaten Place,Residential,"$1,334,168","4,684",,6,5,05/26/2022,
910,5038736,Colorado Springs,9113 Bugaboo Drive,Residential,"$690,054","3,726",,3,2,05/26/2022,
911,1800569,Aurora,18631 E Water Drive Unit# B,Residential,"$325,000","1,096","1,096",2,2,05/26/2022,Yes
912,9602254,Colorado Springs,6174 Harmonica Arch Drive,Residential,"$644,300","3,626",,3,2,05/26/2022,
913,4317647,Hudson,36100 E 144th Avenue,Land,"$3,147,000",,,,,05/26/2022,No
914,6188893,Westminster,14551 N Navajo Court,Land,"$271,920",,,,,05/26/2022,Yes
915,5398217,Aurora,21040 E Jefferson Circle,Residential,"$779,000","4,178","2,926",5,5,05/26/2022,Yes
916,2904890,Denver,4795 Blackhawk Way,Residential,"$535,000","2,160","1,080",5,3,05/26/2022,No
917,5701949,Littleton,9725 W Friend Place,Residential,"$560,000","1,448","1,448",3,3,05/26/2022,No
918,7194242,Elizabeth,1041 W Witherspoon Drive,Residential,"$653,600","3,298","2,377",4,3,05/26/2022,Yes
919,2744138,Elizabeth,39263 Hopkins Circle,Residential,"$782,200","4,506","3,161",5,5,05/26/2022,Yes
920,4821977,Aurora,4333 S Andes Way Unit# 104,Residential,"$270,000",982,982,2,2,05/26/2022,Yes
921,3812828,Parker,9480 Patty Lane,Residential Lease,"$4,500","3,281","1,640",5,3,05/26/2022,
922,8080148,Cripple Creek,170 Little Topsey Drive,Land,"$25,000",,,,,05/26/2022,Yes
923,5691897,Denver,3460 Birch Street,Residential,"$829,000","2,002","1,348",4,3,05/26/2022,No
924,5970081,Saguache,1420 Christy Avenue,Residential,"$360,000","1,165","1,165",0,0,05/26/2022,No
925,8919554,Grand Lake,27 County Road 4981/Marigold,Residential,"$1,049,000","3,351","1,872",3,3,05/26/2022,Yes
926,6594895,, ,Residential,"$568,340","2,143",,4,3,05/26/2022,
927,2602346,, ,Residential,"$538,690","1,955",,4,3,05/26/2022,
928,6684193,, ,Residential,"$534,005","1,736",,3,3,05/26/2022,
929,6811932,, ,Residential,"$518,435","1,563",,3,3,05/26/2022,
930,6527323,, ,Residential,"$543,070","1,581",,3,2,05/26/2022,
931,5099575,, ,Residential,"$368,000","1,384",,3,3,05/26/2022,
932,6898061,Denver,4967 Knox Court,Residential,"$515,000",995,995,3,1,05/26/2022,No
933,9916553,, ,Residential,"$325,000","1,041",,2,3,05/26/2022,
934,3405963,Denver,1376 N Humboldt Street,Residential,"$825,000","2,400","1,408",4,3,05/26/2022,No
935,3113580,Walsenburg,347 E 5th Street,Residential,"$110,000",924,924,3,1,05/26/2022,No
936,9415597,Denver,3700 N Jackson Street,Residential,"$625,000","1,682","1,156",5,4,05/26/2022,No
937,7850964,Englewood,4936 S Fillmore Court,Residential,"$9,950,000","14,473","12,473",7,11,05/26/2022,Yes
938,1820057,Berthoud,1637 Glacier Avenue,Residential,"$690,000","3,442","1,721",5,4,05/26/2022,Yes
939,3238510,Castle Rock,3312 Shoveler Trail,Residential,"$725,000","3,235","2,248",3,3,05/26/2022,Yes
940,9490895,Denver,640 Clayton Street,Residential,"$1,450,000","2,910","1,998",4,4,05/26/2022,No
941,5850476,Denver,830 E 11th Avenue Unit# 101,Residential,"$200,000",358,358,0,1,05/26/2022,Yes
942,8393478,Arvada,12183 W 75th Lane,Residential,"$894,500","4,202","2,774",6,6,05/26/2022,No
943,2104256,Brighton,4989 Thistle Drive,Residential,"$518,435",,,,0,05/26/2022,No
944,5296579,Milliken,2087 Birdie Drive,Residential,"$549,999","3,278","1,647",4,3,05/26/2022,No
945,9960982,Thornton,11400 Leyden Way,Residential,"$560,000","2,859","2,159",3,3,05/26/2022,Yes
946,6756886,Denver,6840 Huron Street,Residential,"$599,000","1,856","1,856",4,2,05/26/2022,No
947,7092489,Commerce City,11250 Florence Street Unit# 29F,Residential,"$390,000","1,863","1,863",2,4,05/26/2022,Yes
948,8646642,Centennial,2981 E Fremont Drive,Residential,"$695,000","3,223","2,107",5,3,05/26/2022,Yes
949,2706990,Lakewood,2304 S Holman Circle,Residential,"$900,000","3,653","2,048",3,3,05/26/2022,No
950,2605296,Lakewood,2557 S Dover Street Unit# 85,Residential,"$395,000","1,056","1,056",2,2,05/26/2022,Yes
951,7368629,Denver,1885 S Quebec Way Unit# C24,Residential,"$325,000","1,059","1,059",2,2,05/26/2022,Yes
952,6675373,Colorado Springs,4175 Thundercloud Drive,Residential,"$574,000","2,750","1,375",5,3,05/26/2022,No
953,8739197,Denver,4788 N Kittredge Street Unit# 7,Residential,"$499,900","1,947","1,947",4,3,05/26/2022,Yes
954,6175019,Northglenn,200 E 111th Place,Residential,"$535,000","1,650",825,3,2,05/26/2022,No
955,8978532,Denver,3305 Clay Street,Residential,"$799,000","1,790","1,014",2,2,05/26/2022,No
956,7008343,Pueblo,4518 Meadowlark Lane,Residential,"$375,585","1,122","1,122",3,2,05/26/2022,No
957,5942225,Denver,2325 S Linden Court Unit# 108,Residential Lease,"$1,850",950,950,2,2,05/26/2022,
958,3827347,Peyton,12667 Enclave Scenic Drive,Residential,"$603,325","2,838","2,007",3,3,05/26/2022,Yes
959,2237235,Aurora,3967 Grand Baker Street,Residential,"$912,465","3,753","2,715",5,4,05/26/2022,No
960,8029842,Brighton,1114 Cardinal Circle,Residential,"$550,000","2,942","1,938",4,4,05/26/2022,Yes
961,8245096,Arvada,10261 W 59th Avenue Unit# 2,Residential,"$350,000",918,918,2,1,05/26/2022,No
962,9337885,Berthoud,504 Prairiestar Drive,Residential,"$540,000","2,261","2,261",4,3,05/26/2022,No
963,9237806,Lochbuie,308 Diablo Place,Residential,"$495,000","2,177","2,177",3,3,05/26/2022,Yes
964,9181198,Denver,2253-2255 S Lincoln Street,Residential Income,"$625,000","1,536",768,4,2,05/26/2022,No
965,9752299,Littleton,7002 S Garrison Street,Residential,"$925,000","4,611","3,047",5,5,05/26/2022,Yes
966,4457086,Northglenn,10439 Quivas Street,Residential,"$550,000","2,492","1,868",4,3,05/26/2022,No
967,6604452,Littleton,10401 Red Mountain Road,Residential,"$549,900","2,527","1,752",4,3,05/26/2022,Yes
968,5238598,Denver,1390 N Emerson Street Unit# 204,Residential,"$250,000",601,601,1,1,05/26/2022,Yes
969,8703431,Englewood,2766 S Sherman Street,Residential,"$675,000","1,440",720,3,1,05/26/2022,No
970,6051315,Castle Rock,990 Mcmurdo Circle,Residential,"$775,000","4,159","2,919",5,5,05/26/2022,Yes
971,6387442,Aurora,13992 E Marina Drive Unit# 412,Residential,"$249,900",929,929,2,1,05/26/2022,Yes
972,7950623,Golden,21736 Panorama Drive,Residential,"$900,000","2,765","1,583",4,3,05/26/2022,Yes
973,4864485,Denver,925 S University Boulevard,Residential,"$869,000","2,160","1,080",2,2,05/26/2022,No
974,9569758,Denver,"888 S Valentia Street Unit# 101, Bldg 19",Residential,"$934,340","2,060","2,060",2,3,05/26/2022,Yes
975,1725483,Denver,2900 S Quebec Street Unit# 7,Residential,"$749,000","2,768","1,753",3,4,05/26/2022,Yes
976,7865015,Louisville,561 Ridgeview Drive,Residential,"$649,700","2,117","1,078",3,3,05/26/2022,Yes
977,2091380,Westminster,5841 W 108th Avenue,Residential,"$575,000","2,224","1,648",3,3,05/26/2022,No
978,2105496,Lakewood,1540 Tabor Street,Residential Income,"$580,000","1,760","1,760",3,3,05/26/2022,No
979,6381079,Colorado Springs,3535 Sedgewood Way,Residential,"$459,900","1,422","1,422",3,2,05/26/2022,No
980,5001422,Denver,5553 Killarney Court,Residential,"$500,000","1,420","1,420",2,3,05/26/2022,Yes
981,7721104,Greeley,2305 Talon Parkway,Residential,"$535,000","2,914","2,273",4,3,05/26/2022,Yes
982,5906059,Lakewood,888 S Reed Court Unit# B,Residential,"$345,000",840,840,2,1,05/26/2022,Yes
983,5087399,Arvada,7653 Saulsbury Street,Residential,"$579,900","1,669","1,149",3,2,05/26/2022,No
984,6832658,Denver,847 S Logan Street,Residential Lease,"$6,000","2,692","2,692",4,5,05/26/2022,
985,5975786,Denver,2095 Monaco Parkway,Residential,"$789,000","2,890","1,445",3,3,05/26/2022,No
986,8649448,Denver,19167 E 54th Place,Residential,"$585,000","1,835","1,835",4,4,05/26/2022,Yes
987,4078521,Longmont,155 Mount Massive Way,Residential,"$595,000","2,395","1,579",3,2,05/26/2022,No
988,4047241,Saguache, County Road U,Land,"$160,000",,,,,05/26/2022,No
989,1745391,Highlands Ranch,10627 Cherrybrook Circle,Residential,"$650,000","1,978","1,562",3,0,05/26/2022,Yes
990,7273723,Denver,4250 S Olive Street Unit# 220,Residential,"$445,000","1,626","1,626",2,2,05/26/2022,Yes
991,7258923,Broomfield,3304 W 127th Avenue,Residential,"$585,000","1,736","1,352",4,3,05/26/2022,No
992,5186185,Denver,3615 Kearney Street,Residential,"$650,000","1,598",799,4,2,05/26/2022,No
993,6558086,Aurora,15903 E Arkansas Place,Residential,"$475,000","2,596","1,876",4,4,05/26/2022,No
994,7371674,Denver,8511 Essex Drive,Residential,"$425,000","1,632",816,3,2,05/26/2022,No
995,4652584,Littleton,585 W Jamison Circle,Residential,"$575,000","1,858","1,203",4,2,05/26/2022,Yes
996,8285594,Denver,3435 Wyandot Street,Residential,"$1,300,000","2,472","1,760",3,5,05/26/2022,No
997,4648103,Aurora,20156 E Jefferson Place,Residential,"$575,000","1,678","1,678",3,3,05/26/2022,Yes
998,3340368,Denver,240 S Canosa Court,Residential,"$1,079,000","3,242","2,031",7,4,05/26/2022,No
999,8749636,Aurora,789 Emporia Street,Residential,"$525,000","1,632","1,632",5,2,05/26/2022,No
1000,4105108,Denver,240 S Canosa Court,Residential Income,"$1,079,000","3,242","2,031",7,4,05/26/2022,No
1001,7159115,Highlands Ranch,9735 Bucknell Way,Residential,"$675,000","2,821","2,043",5,3,05/26/2022,Yes
1002,2601755,Denver,2910 Niagara Street,Residential,"$609,000","1,251","1,251",2,2,05/26/2022,No
1003,7846146,Deer Trail,436 S 3RD Avenue,Residential,"$380,000","2,288","1,144",2,2,05/26/2022,Yes
1004,4882476,Denver,2825 Eliot Street Unit# 1,Residential,"$979,000","1,960","1,960",3,3,05/26/2022,No
1005,5042543,Castle Rock,347 Silver Cloud Place,Residential,"$1,999,700","4,516","2,766",4,4,05/26/2022,Yes
